,inet6num,inetnum,primary-key
0,2003:46:e033::/48,,15743813
1,,213.139.133.208 - 213.139.133.223,421117
2,,213.139.151.128 - 213.139.151.143,2187984
3,,217.110.149.48 - 217.110.149.55,1992719
4,,83.236.232.216 - 83.236.232.223,3856603
5,,87.234.250.245 - 87.234.250.245,4548511
6,,217.19.190.136 - 217.19.190.143,8214163
7,,62.50.36.160 - 62.50.36.167,8629520
8,,85.220.170.104 - 85.220.170.111,9984619
9,,85.220.170.112 - 85.220.170.119,9997833
10,,85.220.161.32 - 85.220.161.39,14030497
11,,217.6.255.224 - 217.6.255.231,15725965
12,,87.193.169.132 - 87.193.169.135,17660071
13,,83.236.217.45 - 83.236.217.45,8422696
15,,212.144.253.8 - 212.144.253.15,7850771
16,,92.198.53.238 - 92.198.53.238,7804872
17,,82.100.217.56 - 82.100.217.63,9332127
20,,92.198.61.80 - 92.198.61.87,7082616
23,,87.234.248.115 - 87.234.248.115,16010247
26,,213.172.107.8 - 213.172.107.15,12585904
27,,87.193.169.128 - 87.193.169.128,17660064
29,,217.111.2.152 - 217.111.2.159,18352205
30,,217.19.179.55 - 217.19.179.55,18608711
31,,217.19.179.14 - 217.19.179.14,18608708
32,,176.94.5.160 - 176.94.5.167,18460645
