,editor_name,id,year_month,IP_origin_simple
1207432,82.100.217.62,7696692,2015-07-01,9332127
1272146,82.100.217.62,8131691,2015-07-01,9332127
2264745,82.100.217.62,14566023,2014-12-01,9332127
2581991,82.100.217.62,16497887,2014-12-01,9332127
2581992,82.100.217.62,16497890,2014-01-01,9332127
2581993,82.100.217.62,16497895,2014-11-01,9332127
4109139,83.236.232.218,27087530,2012-03-01,3856603
4292842,83.236.217.45,28318526,2011-02-01,8422696
4314506,83.236.217.45,28446337,2011-01-01,8422696
4317680,83.236.217.45,28464247,2011-02-01,8422696
4333925,83.236.217.45,28558697,2011-02-01,8422696
4335019,83.236.217.45,28564915,2011-02-01,8422696
4381118,83.236.217.45,28827628,2011-07-01,8422696
4381569,83.236.217.45,28829756,2011-02-01,8422696
4499535,83.236.217.45,29509695,2011-02-01,8422696
4619275,83.236.217.45,30204563,2011-02-01,8422696
4620388,83.236.217.45,30210878,2011-02-01,8422696
4628552,83.236.217.45,30257487,2011-02-01,8422696
4662919,83.236.217.45,30451866,2011-02-01,8422696
4740938,83.236.217.45,30908137,2011-04-01,8422696
4834987,83.236.217.45,31457053,2011-02-01,8422696
4848244,83.236.217.45,31533612,2011-02-01,8422696
4873198,212.144.253.14,31676742,2011-05-01,7850771
4873199,212.144.253.14,31676743,2011-07-01,7850771
4873201,212.144.253.14,31676746,2011-04-01,7850771
4878995,83.236.217.45,31709589,2011-02-01,8422696
4899685,83.236.217.45,31826311,2011-02-01,8422696
4915130,83.236.217.45,31913354,2011-02-01,8422696
4921876,83.236.217.45,31952543,2011-02-01,8422696
4932871,83.236.217.45,32012494,2011-02-01,8422696
5038914,83.236.217.45,32623110,2011-11-01,8422696
5056143,83.236.217.45,32721274,2011-02-01,8422696
5091639,83.236.217.45,32926978,2011-02-01,8422696
5147761,83.236.217.45,33247522,2011-02-01,8422696
5150892,212.144.253.14,33266433,2011-01-01,7850771
5165794,83.236.217.45,33352377,2011-02-01,8422696
5182104,83.236.217.45,33447165,2011-02-01,8422696
5213972,83.236.217.45,33632983,2011-02-01,8422696
5295707,82.100.217.62,34104571,2011-06-01,9332127
5302866,83.236.217.45,34143839,2011-01-01,8422696
5361034,85.220.170.116,34460679,2010-02-01,9997833
5698595,213.139.133.213,36267870,2010-06-01,421117
6094805,83.236.217.45,38382732,2010-10-01,8422696
6666476,213.139.151.131,41423867,2009-06-01,2187984
6870311,217.19.190.139,42508510,2009-05-01,8214163
7005655,85.220.161.35,43224041,2009-10-01,14030497
7267899,213.139.133.212,44607066,2009-02-01,421117
7382019,213.139.151.130,45210328,2009-04-01,2187984
7451707,213.139.133.212,45580484,2009-02-01,421117
7451708,213.139.133.212,45580488,2009-01-01,421117
7521982,213.139.151.130,45950873,2009-09-01,2187984
8294080,83.236.232.218,49358497,2008-06-01,3856603
8783874,213.139.151.131,51466465,2008-10-01,2187984
8874692,213.139.133.212,51857214,2008-09-01,421117
8946432,213.139.133.212,52169729,2008-05-01,421117
9058200,213.139.151.130,52641018,2007-02-01,2187984
9272605,213.139.151.130,53388417,2007-02-01,2187984
9289303,213.139.151.130,53448498,2007-02-01,2187984
9489468,213.139.151.130,54153493,2007-02-01,2187984
9567218,213.139.133.212,54424911,2007-08-01,421117
9585441,213.139.151.130,54488183,2007-02-01,2187984
9670112,213.139.151.130,54784801,2007-02-01,2187984
9768768,213.139.151.130,55130288,2007-02-01,2187984
9905745,213.139.151.130,55618327,2007-02-01,2187984
9922585,213.139.151.130,55678484,2007-02-01,2187984
10014429,213.139.151.130,56004508,2007-02-01,2187984
10179272,213.139.151.130,56577409,2007-02-01,2187984
10191169,213.139.151.130,56620085,2007-02-01,2187984
10285887,213.139.151.130,56951629,2007-02-01,2187984
10568173,213.139.151.130,57938836,2007-02-01,2187984
10650226,213.139.151.130,58221685,2007-02-01,2187984
10667516,213.139.151.130,58282167,2007-02-01,2187984
10781478,213.139.151.130,58683837,2007-02-01,2187984
10829603,213.139.151.130,58851511,2007-02-01,2187984
10846878,213.139.151.130,58910336,2007-02-01,2187984
10889171,213.139.151.130,59054899,2007-02-01,2187984
10967701,213.172.107.11,59304364,2006-10-01,12585904
11203088,213.139.133.212,60025183,2006-12-01,421117
11269836,213.139.133.212,60233455,2006-02-01,421117
11687051,217.110.149.50,61524225,2006-09-01,1992719
11764615,213.139.151.130,61762392,2006-11-01,2187984
11840486,213.139.151.130,61997861,2006-04-01,2187984
12226386,213.139.133.212,63177216,2006-03-01,421117
12606241,217.110.149.50,64349895,2006-11-01,1992719
12664002,213.139.151.130,64528634,2006-08-01,2187984
12796061,213.139.151.131,64933782,2005-06-01,2187984
12942135,217.110.149.50,65391615,2005-07-01,1992719
13051838,213.139.151.131,65739615,2005-09-01,2187984
13229012,213.139.151.131,66299414,2005-09-01,2187984
13651236,213.139.151.131,67619725,2005-06-01,2187984
13651366,213.139.151.131,67620129,2005-05-01,2187984
